acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.0344,0.851,271920,0.747,Young MC,70Di5LZAVWDBIq6HTxBZtn,https://i.scdn.co/image/3a2e99589a11784f6dda20a0e33735b9649acaad,2.3e-05,8,0.14,-5.8020000000000005,26,,0.119,https://open.spotify.com/track/70Di5LZAVWDBIq6HTxBZtn,93,4,8,Roll With The Punches,0.73,676.9444455515995,311.0,3041.0
0.0258,0.78,390999,0.852,Mike WiLL Made-It,16Of5hPEODN84py9a7lCUl,https://i.scdn.co/image/6a4990ef3afa4f651e478935e85319f08ed99a6b,2.7000000000000004e-06,0,0.183,-1.3330000000000002,61,,0.17600000000000002,https://open.spotify.com/track/16Of5hPEODN84py9a7lCUl,141,4,10,"F.I.G.H.T. (with Eearz, Gucci Mane, YG, Trouble, Quavo & Juicy J)",0.523,675.3559739836071,312.0,3040.0
0.00563,0.784,234400,0.7979999999999999,Petey Pablo,4aCakmRexYzY23W2YGiMxV,https://i.scdn.co/image/d30bd46276f28ba36f2341fffda24ca81d5350c7,0.0,1,0.271,-5.7029999999999985,25,https://p.scdn.co/mp3-preview/577fc0171082f3b673e40a51fe470db04c30d151?cid=f715962b546a41029c80979d6042ad77,0.122,https://open.spotify.com/track/4aCakmRexYzY23W2YGiMxV,111,4,17,Vibrate,0.52,667.2058032622797,313.0,3039.0
0.0171,0.8759999999999999,220040,0.657,Black Moon,6xMlblO0n8nfnoHOr86i2r,https://i.scdn.co/image/c5bc0f184ba33d88594f94d89e6d90105a79f495,0.00188,10,0.217,-11.17,38,https://p.scdn.co/mp3-preview/d1bd78fc497e3edab6bfd177315aee198c682aa1?cid=f715962b546a41029c80979d6042ad77,0.16899999999999998,https://open.spotify.com/track/6xMlblO0n8nfnoHOr86i2r,89,4,13,How Many MC's...,0.595,665.4088851463918,314.0,3038.0
0.0773,0.7759999999999999,232533,0.706,J Dilla,5IYzq28hEwrCRFDvQRFFpM,https://i.scdn.co/image/77eb7c17cafe5502b4837b6ff058bb6edeb03473,0.0,1,0.0985,-5.33,34,https://p.scdn.co/mp3-preview/116ccf7bddf32781b653f44c0ae5e29c1e140798?cid=f715962b546a41029c80979d6042ad77,0.253,https://open.spotify.com/track/5IYzq28hEwrCRFDvQRFFpM,94,4,12,Won't Do,0.598,663.6936149989127,315.0,3037.0
0.00943,0.8740000000000001,439800,0.8009999999999999,Grandmaster Flash,5DRG5XaappUGn5GktQdCti,https://i.scdn.co/image/9c22bffe7ddd88bdf5407a8d2bf0e801aad42171,0.0,10,0.0486,-11.135,26,https://p.scdn.co/mp3-preview/6e325b7a2f3f924af60a38f2a53a650107d02062?cid=f715962b546a41029c80979d6042ad77,0.182,https://open.spotify.com/track/5DRG5XaappUGn5GktQdCti,101,4,14,"New York, New York - Extended Mix",0.8859999999999999,663.6286113357993,316.0,3036.0
0.0192,0.818,313800,0.633,UGK,1BVTXeq3Hv4K1QamHvrt6A,https://i.scdn.co/image/eabd3d371ba0f06dd83b02f88e7ea3ada3c3b7e1,1.47e-05,2,0.0444,-5.598,31,https://p.scdn.co/mp3-preview/26cdc1b02d3203e5bc29dd0bd005394bc912480a?cid=f715962b546a41029c80979d6042ad77,0.105,https://open.spotify.com/track/1BVTXeq3Hv4K1QamHvrt6A,150,4,7,"Front, Back & Side to Side",0.8029999999999999,660.5269944250938,317.0,3035.0
0.0379,0.764,269133,0.72,Ja Rule,5mhMDEk2EAnsq648GEb9io,https://i.scdn.co/image/273ec689b827cf3793bc997d1511351ec0f15f78,0.0,11,0.117,-4.147,50,,0.179,https://open.spotify.com/track/5mhMDEk2EAnsq648GEb9io,99,4,11,Caught Up,0.476,660.3527431975905,318.0,3034.0
0.0196,0.882,257267,0.6990000000000001,Yo Gotti,7mhk9WyqZZzvTTCQKfh2iV,https://i.scdn.co/image/23a9759b3043c824edf1212cb1fbf6694cc8c67d,0.0,2,0.0469,-5.572,57,https://p.scdn.co/mp3-preview/3b956290a35d512849acaf8ba4f31dae5cdf28ce?cid=f715962b546a41029c80979d6042ad77,0.249,https://open.spotify.com/track/7mhk9WyqZZzvTTCQKfh2iV,145,4,4,Law,0.42,658.7187680136283,319.0,3033.0
0.02,0.778,250533,0.902,MC Ren,4NycJREXrQvwAbbhmmnzpc,https://i.scdn.co/image/d11af1f8b6fe8102996d0097f010210cd906a926,0.0,1,0.126,-6.488,24,https://p.scdn.co/mp3-preview/84a19df67fadd3b93e86e30a2d48d22d12d73fab?cid=f715962b546a41029c80979d6042ad77,0.206,https://open.spotify.com/track/4NycJREXrQvwAbbhmmnzpc,91,4,3,Final Frontier,0.649,656.5706212769244,320.0,3032.0
0.0015,0.787,272933,0.625,Group Home,7oaqaFpxXQxAnexACj8ydz,https://i.scdn.co/image/3e8f7b65f85793fcb01397bd52b21a17ed2acf4f,1.19e-06,7,0.0501,-7.62,28,,0.248,https://open.spotify.com/track/7oaqaFpxXQxAnexACj8ydz,90,4,12,Up Against The Wall - Getaway Car Mix,0.528,656.4610913745722,321.0,3031.0
0.0192,0.777,304507,0.645,D12,5IweeQZdY5XEzStLzUJG5t,https://i.scdn.co/image/9d3242d1ee2f8020c2a144a86a60eeeb77f15125,7.59e-06,1,0.34,-6.0779999999999985,65,,0.198,https://open.spotify.com/track/5IweeQZdY5XEzStLzUJG5t,125,4,10,Purple Pills,0.7,655.929643918751,322.0,3030.0
0.0267,0.688,205600,0.768,Bad Meets Evil,7n4PRAJjYzGFr1DR3KHYMU,https://i.scdn.co/image/e5a6766c732c4b8fd9115fcf52a41cc6a5b24fcf,0.0,1,0.321,-5.176,51,,0.235,https://open.spotify.com/track/7n4PRAJjYzGFr1DR3KHYMU,147,4,8,Take From Me,0.588,653.1182466716429,323.0,3029.0
0.00498,0.823,129596,0.6990000000000001,Bow Wow,4Nm6f6nWUWOdkq2kp3odvm,https://i.scdn.co/image/4c6a83bb622dbd0553e1284e81737e87062cf0a5,3.4e-06,0,0.0841,-2.193,43,https://p.scdn.co/mp3-preview/7988d33f2add6d78c127438a4b25fc0f03875779?cid=f715962b546a41029c80979d6042ad77,0.049,https://open.spotify.com/track/4Nm6f6nWUWOdkq2kp3odvm,160,4,1,Yeaahh,0.628,650.5511138229908,324.0,3028.0
0.0871,0.8079999999999999,200640,0.7929999999999999,Digital Underground,6SEbEo6O3UDFhkyhDzO6Os,https://i.scdn.co/image/2eb02ae2d0d105ba235fe140e5b5adaa4b6b5a79,0.0,1,0.133,-5.987,35,https://p.scdn.co/mp3-preview/77534443501aa0485520d95243c9822f523e7de0?cid=f715962b546a41029c80979d6042ad77,0.206,https://open.spotify.com/track/6SEbEo6O3UDFhkyhDzO6Os,103,4,8,Same Song - Featuring Tupac,0.732,649.5354373184042,325.0,3027.0
0.00478,0.794,225907,0.905,The D.O.C.,2PiVwGnCTMwHsegAbdGt9b,https://i.scdn.co/image/c5e57d2f21c656983fbf9df2d5cb87277148d5c2,5.83e-06,11,0.0816,-8.147,36,https://p.scdn.co/mp3-preview/f5a3b1896d22163dcb0c52b7f4d520e1b0694ab6?cid=f715962b546a41029c80979d6042ad77,0.191,https://open.spotify.com/track/2PiVwGnCTMwHsegAbdGt9b,114,4,9,Whirlwind Pyramid,0.5329999999999999,645.8835276898665,326.0,3026.0
0.0326,0.81,148107,0.693,Nice & Smooth,3vgFfvfErqTmnAeUEratkZ,https://i.scdn.co/image/abe7a20a72a13424a67849169499b4252e0c7f37,6.08e-06,7,0.116,-9.118,13,,0.312,https://open.spotify.com/track/3vgFfvfErqTmnAeUEratkZ,98,4,7,Blunts,0.423,643.3723083486627,327.0,3025.0
0.0277,0.856,391373,0.884,Spoonie Gee,1vGCzsxGZkEnpg6s4yzA3R,https://i.scdn.co/image/c98f7fe61f42a7a31e0ec4c232e94ae959d15dee,0.0,1,0.0544,-8.181000000000001,19,https://p.scdn.co/mp3-preview/84689128911e3be417cdbe1153b0177a197e31af?cid=f715962b546a41029c80979d6042ad77,0.097,https://open.spotify.com/track/1vGCzsxGZkEnpg6s4yzA3R,102,4,9,Spoonie Is Back,0.684,640.0748847061062,328.0,3024.0
