id,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
27LdndoQmhyNN11zYZrwgV,Back in Your Arms (For Christmas),17,https://p.scdn.co/mp3-preview/525fb382766684ed668236dc86e01968f55d5cb6?cid=f715962b546a41029c80979d6042ad77,12,BLAKE,https://i.scdn.co/image/3ade061b7dc506bdd04214586f0d5f06ca1c0969,https://open.spotify.com/track/27LdndoQmhyNN11zYZrwgV,0.91,0.493,187120,0.243,6.01e-06,8,0.113,-11.07,0.0295,107,3,0.299
01JgRFKw31s8a7uLBHBtcd,White Christmas,33,https://p.scdn.co/mp3-preview/2537e7a3fcf2bd58369d4150f87bc38f30f5d9b0?cid=f715962b546a41029c80979d6042ad77,2,Il Divo,https://i.scdn.co/image/da68907b84894da6b12a013dd8e6435ef12fbb52,https://open.spotify.com/track/01JgRFKw31s8a7uLBHBtcd,0.9390000000000001,0.135,229120,0.434,0.0188,4,0.0944,-7.975,0.0352,166,4,0.175
2im0Ak5ARJwBfnZYhCyhZh,The Lord's Prayer,31,https://p.scdn.co/mp3-preview/4663ad165b5ed2677d12104d405f02136426637e?cid=f715962b546a41029c80979d6042ad77,2,Susan Boyle,https://i.scdn.co/image/edf3cffced142e74ea9600474a3466d896d700c0,https://open.spotify.com/track/2im0Ak5ARJwBfnZYhCyhZh,0.905,0.201,225546,0.223,0.000161,10,0.10099999999999999,-10.124,0.0372,88,4,0.0399
269jrKiZTdmnGF1e9lQCYl,Whisper of Angels,22,https://p.scdn.co/mp3-preview/822d59749573216568cbe4c1a7d1536fef06a96d?cid=f715962b546a41029c80979d6042ad77,6,Gabriel Fauré,https://i.scdn.co/image/460bfe5536be6f0923273345219d8e5d5c5a0562,https://open.spotify.com/track/269jrKiZTdmnGF1e9lQCYl,0.9279999999999999,0.23800000000000002,225026,0.41100000000000003,0.0101,5,0.0781,-10.985999999999999,0.0328,63,4,0.0986
3MQAJdRsn0AEWyZs9Rno73,I Wish You Christmas,22,https://p.scdn.co/mp3-preview/f291c3d8a9aec105257aafce57d35dd10e2294d4?cid=f715962b546a41029c80979d6042ad77,9,John Rutter,https://i.scdn.co/image/133ef17e21f286957dfbc9bffac6ba731da06262,https://open.spotify.com/track/3MQAJdRsn0AEWyZs9Rno73,0.9840000000000001,0.205,265400,0.275,0.00011899999999999999,6,0.0927,-11.03,0.0533,73,1,0.158
03yY4Oq2DYAZtuA2LrArHC,Abigail's Song (Silence Is All You Know),32,https://p.scdn.co/mp3-preview/648f0c222b480d86511af481ba9fc1f2ca25a1ec?cid=f715962b546a41029c80979d6042ad77,28,Katherine Jenkins,https://i.scdn.co/image/da17deff3b077233a21433c9d202c0a53ded1015,https://open.spotify.com/track/03yY4Oq2DYAZtuA2LrArHC,0.877,0.18,281426,0.365,0.0175,8,0.109,-11.964,0.0521,76,3,0.114
4uUN9Y4AJxDcsPh6joJ56d,Christmas Mornings,1,,4,Mario Frangoulis,https://i.scdn.co/image/850bf1c06bb6714808adf5b7a9ef0d2648049ddf,https://open.spotify.com/track/4uUN9Y4AJxDcsPh6joJ56d,0.866,0.26,270026,0.304,0.0019,0,0.0832,-8.625,0.0302,111,1,0.145
0ZT1NYVoPlb03guIrfkB6L,I'll Be Home For Christmas,11,,5,Il Volo,https://i.scdn.co/image/9872fbbe01d200d6f309d953f5fff86549bf4cc3,https://open.spotify.com/track/0ZT1NYVoPlb03guIrfkB6L,0.7290000000000001,0.23199999999999998,276506,0.43,0.000481,11,0.18600000000000003,-7.523,0.0313,88,4,0.138
3gwIcMKixit1KLimaQeMSY,"God Rest Ye Merry, Gentlemen",26,https://p.scdn.co/mp3-preview/ba6e93cfaab5404d6a47e2bec89e87b30cdf4e9c?cid=f715962b546a41029c80979d6042ad77,13,Traditional,https://i.scdn.co/image/d9e8ebbc77cf1a64ba8abcf27fd68ebae020a67b,https://open.spotify.com/track/3gwIcMKixit1KLimaQeMSY,0.993,0.366,119306,0.17800000000000002,0.000122,5,0.18100000000000002,-12.125,0.0366,109,4,0.331
4QBvxlDYcFkgRYKvWGf5JN,The Peace Song,23,,16,Hayley Westenra,https://i.scdn.co/image/0dff6602c403bc5fa9bf9c6e7b981b32c8c243fa,https://open.spotify.com/track/4QBvxlDYcFkgRYKvWGf5JN,0.835,0.21,125853,0.247,2.37e-05,11,0.203,-12.837,0.0337,82,4,0.159
